MeanM Amp1M StdM
1.0 1.0 1.0
0.999765499718 1.00162815055 1.00754091284
0.99826187317 1.00583196142 1.06002281612
0.997848076017 1.00815183875 1.07303866427
0.997682773764 1.0149653771 1.06453002474
0.997648115087 1.01648137258 1.05433769121
0.997798416545 1.01514970674 1.08251541205
0.997868631989 1.00288733811 1.1227797576
0.99640279682 0.988646159357 1.1218461983
0.995735466795 0.991870203555 1.13100878872
0.996188787317 1.00008240247 1.133661701
0.995817716208 0.984886514632 1.15150772252
0.99602198001 0.986599079306 1.15147591788
0.996987564353 0.988789681298 1.15609941832
0.998355864419 0.989609211286 1.1530620495
0.999241885727 0.981712998503 1.13437931768
0.998765688534 0.992476836612 1.12354340457
0.998385386396 0.984196072915 1.11294498236
0.997659132754 0.984168252282 1.12888199123
0.997207927873 0.98431297312 1.13015121843
0.99746143286 0.982669265503 1.124335444
0.997645790128 0.987680000469 1.13453463249
0.998550110573 0.998698143308 1.15780040833
0.998906782926 1.00718280921 1.17444949863
0.999158353994 1.01860889574 1.18746989145
0.999049222183 1.02120867601 1.1987546083
0.998627684527 1.01734457906 1.21614970422
0.997750568199 1.01378353739 1.2217690519
0.996945800307 1.00749376693 1.22812432357
0.998546115759 1.01009719605 1.2281897467
0.998851135969 1.01826227843 1.22221511726
0.998200142315 1.00629751858 1.2270149798
0.99880848916 1.00283761115 1.17585128934
0.999119992104 0.997065436063 1.17165054128
0.998526225197 1.00144503426 1.18405483576
0.997911316251 0.997275548379 1.20938138927
0.998929850955 1.01477540515 1.21096156789
0.998313470226 1.01573589703 1.18801934945
0.998865068933 1.02074931418 1.17280700264
1.00037596047 1.01523874892 1.16954727207
0.999686644155 1.0118103392 1.17507655904
1.00132183265 1.03279322769 1.17418869254
1.0012484789 1.02675971349 1.18434597147
1.0000155619 1.03078357742 1.20317504188
0.999930000889 1.03771082699 1.18711789178
0.999968921996 1.04418147373 1.18235084019
1.00036970473 1.04616731594 1.18460590058
1.00049169437 1.04749155554 1.18597320931
1.00197085202 1.05305217225 1.17332576293
1.00105482847 1.05189346943 1.20043727826
1.00122385603 1.06026291218 1.21189118126
1.00144338913 1.05666158608 1.20010102963
0.999909167423 1.04343703538 1.187290292
0.998971029825 1.03358771903 1.17275248487
0.998666267436 1.03371395495 1.15229611457
0.998048414249 1.02135297568 1.16753251438
0.997554495522 1.0196662023 1.1617733121
0.998201857538 1.02813920325 1.16792432957
0.998189787071 1.02347750658 1.17348350284
0.996714840254 1.02279158623 1.14159937793
0.996478344003 1.01691075932 1.15824702857
0.996040233237 1.01719049036 1.1557114638
0.996149004389 1.0240881487 1.16903541692
0.994563831265 1.01649516152 1.15579255387
0.99489833888 1.02144337552 1.15171401257
0.995882012958 1.02491551554 1.15123597848
0.99438696524 1.016996042 1.12469865824
0.994352566245 1.02860931452 1.10823374391
0.993686203617 1.02473748242 1.11010115289
0.99353223018 1.03439455839 1.10282423091
0.993655276299 1.02765028274 1.11211215564
0.992120864045 1.02244604392 1.07988776983
0.990858115082 1.02807724417 1.06979566669
0.991120725 1.0222067676 1.05966620539
0.99078384159 1.00608873477 1.10341882727
0.991170687977 1.00768757668 1.11662206492
0.989660797009 1.00349025734 1.13136276188
0.99015205789 1.01863669476 1.16278583635
0.988559799645 1.01058527041 1.15977821036
0.989408014574 1.01411192485 1.1463589076
0.988879194367 1.00713208317 1.13299524098
0.990184236104 1.00485697602 1.1597855884
0.990080396513 1.0010815351 1.16272604076
0.991098142321 1.01948146307 1.20409006942
0.990410852771 1.01065862501 1.2034192629
0.991173211117 1.01640947844 1.17782917424
0.992409082936 1.01274760779 1.19570206009
0.992775351033 1.0043506519 1.20052215814
0.993528968015 1.01182672738 1.20256455336
0.993732461965 1.00114824853 1.2234447143
0.993798657976 1.00052059958 1.22017993168
0.994661513526 1.00503185339 1.20742214593
0.994335318753 1.00098262601 1.20034737868
0.994198138023 1.00523627753 1.19684453758
0.994303785477 0.995889723631 1.17387540398
